card_id,user_id,card_type,issue_date,expiry_date,last_four_digits,is_active,is_blocked,credit_limit,available_credit
card_000000,user_000000,Mastercard,2023-11-16T23:11:47.479072,2027-03-08T23:11:47.479072,1296,True,False,10000,4174.69
card_000001,user_000001,Discover,2025-02-28T11:24:44.306677,2028-10-20T11:24:44.306677,6386,True,False,1000,725.64
card_000002,user_000001,Amex,2025-03-27T06:30:14.757643,2028-09-05T06:30:14.757643,8280,True,False,50000,41574.5
card_000003,user_000001,Mastercard,2025-03-25T13:05:50.853428,2029-03-16T13:05:50.853428,7390,True,False,2000,989.79
card_000004,user_000002,Visa,2022-01-27T04:00:16.478075,2025-07-21T04:00:16.478075,4400,True,False,10000,7665.42
card_000005,user_000002,Discover,2024-10-17T06:14:59.620945,2028-03-26T06:14:59.620945,8657,True,False,3000,1501.76
card_000006,user_000002,Discover,2024-08-14T10:37:03.911989,2028-05-29T10:37:03.911989,7805,False,True,10000,0.0
card_000007,user_000003,Mastercard,2023-07-29T08:00:22.624515,2027-04-05T08:00:22.624515,7148,True,False,2000,1844.83
card_000008,user_000003,Mastercard,2024-01-29T23:37:48.985293,2027-05-19T23:37:48.985293,2812,True,False,3000,1159.5
card_000009,user_000003,Discover,2024-05-18T05:44:08.953059,2027-12-09T05:44:08.953059,6767,True,False,10000,7444.77
card_000010,user_000004,Visa,2024-08-07T22:01:23.945914,2028-06-24T22:01:23.945914,6206,True,False,5000,1563.77
card_000011,user_000004,Discover,2024-08-28T08:12:05.977311,2028-05-07T08:12:05.977311,5690,True,False,3000,2039.87
card_000012,user_000005,Amex,2025-02-26T05:36:18.787930,2028-11-24T05:36:18.787930,8602,True,False,2000,1386.63
card_000013,user_000006,Discover,2023-12-15T23:32:51.734535,2027-07-16T23:32:51.734535,7722,True,True,5000,0.0
card_000014,user_000006,Visa,2024-03-03T03:23:16.059062,2027-05-12T03:23:16.059062,7697,True,False,5000,4334.16
